target,algorithm,callsign,precision,recall,f1_score,coverage,mota,id_switches,total_tp,total_fp,total_fn,total_gt,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees
HEDEF_1,Basic (CV),HEDEF_1,0.9994054696789536,0.24746062122773443,0.39669616519174045,0.24746062122773443,0.24731341086412484,0,1681,1,5112,6793,125.65896210889014,74.4428480931942,81.17347508246532,60.49218188405412,5.228532071623756,3.4680156698158044,3.2813943188481813,2.1314000708785588,15.63721302930973
HEDEF_2,Basic (CV),HEDEF_2,0.9962434259954921,0.1952009421463271,0.32644017725258495,0.1952009421463271,0.19446489032827907,0,1326,5,5467,6793,141.62504253053376,76.2031555468713,94.75237976295477,72.6134855638513,26.99100949237302,13.548155862537358,23.27081884620197,1.852311088617751,279.8168827949421
HEDEF_3,Basic (CV),HEDEF_3,1.0,0.1629618725158251,0.28025316455696203,0.1629618725158251,0.16296187251582517,0,1107,0,5686,6793,145.12598714838606,86.3631479126551,82.33537492320583,82.60656671636643,5.878296117326599,3.7500058847292497,3.831999777055107,2.4098960176992246,11.241505472642938
HEDEF_4,Basic (CV),HEDEF_4,1.0,0.028558810540262033,0.0555317017317876,0.028558810540262033,0.028558810540261992,0,194,0,6599,6793,152.96671738267813,88.75703983192516,93.75291817408649,82.04507810313311,64.2919328606326,4.651208312816546,64.0502161387061,3.0640993410639434,2213.543093755759
HEDEF_1,Advanced (CA+CI),HEDEF_1,1.0,0.31620786103341675,0.48048316743093616,0.31620786103341675,0.3162078610334168,0,2148,0,4645,6793,128.28312061209039,78.20452003322268,82.24391056728264,59.80427455416727,9.547700910154811,6.170510075169823,5.885369585706024,4.294860058447214,4.18475011735682
HEDEF_2,Advanced (CA+CI),HEDEF_2,0.9969325153374233,0.14353010451935816,0.25093295586153647,0.14353010451935816,0.14308847342852937,0,975,3,5818,6793,151.58087186134293,94.44926611750866,80.19930619236337,87.31648258131128,25.044963135334147,16.652694975774565,18.2608249763617,4.059581219380092,59.32457724617078
HEDEF_3,Advanced (CA+CI),HEDEF_3,1.0,0.13484469306639188,0.23764431184330007,0.13484469306639188,0.1348446930663919,0,916,0,5877,6793,146.36378153788644,85.84527185334349,78.85519598919608,88.5144277053248,11.639636902066862,7.832422495482444,6.353081002511074,5.811425542820803,2.83785183300738
HEDEF_4,Advanced (CA+CI),HEDEF_4,0.9889196675900277,0.05255409980862653,0.09980430528375733,0.05255409980862653,0.05196525835418808,0,357,4,6436,6793,154.44257977800882,95.84364661474883,91.58911920974182,79.23344681671664,48.059388808878964,7.111683907798058,47.18628334645331,5.708193114006427,180.4639946608666
HEDEF_1,IMM (CI),HEDEF_1,1.0,0.3904018842926542,0.5615669666490206,0.3904018842926542,0.3904018842926542,0,2652,0,4141,6793,137.05359286222804,67.41172257559126,69.21202633842218,97.20618491622044,9.502575683945656,6.661898087565798,6.288636008011945,2.5241069031913055,15.671954437288537
HEDEF_2,IMM (CI),HEDEF_2,0.9969864389753893,0.2922125717650523,0.45195810564663025,0.2922125717650523,0.29132930958339465,0,1985,6,4808,6793,120.38632948910845,61.7748040251563,71.27063269328805,74.81469662447438,28.60298749137979,12.206300846668793,25.749093893279827,2.4741214092483363,196.06827505201227
HEDEF_3,IMM (CI),HEDEF_3,1.0,0.33225379066686295,0.4987845303867403,0.33225379066686295,0.332253790666863,0,2257,0,4536,6793,137.006862890065,85.3104050384333,79.76925394285136,71.6231903544963,10.947399258847096,9.234910767511266,4.937396035765422,3.1912527375183477,8.77681655020202
HEDEF_4,IMM (CI),HEDEF_4,0.9984496124031008,0.09480347416458118,0.17316482925517612,0.09480347416458118,0.09465626380097159,0,644,1,6149,6793,147.09418223507436,79.12715018610314,99.33053096884221,74.22289517580828,88.52973799110707,6.694481163887316,88.17176464674684,4.293989962623601,1004.258260950651
