target,algorithm,callsign,precision,recall,f1_score,coverage,mota,id_switches,total_tp,total_fp,total_fn,total_gt,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees,dataset
HEDEF_1,Basic (CV),HEDEF_1,1.0,0.3148470529718975,0.4789105352752033,0.3148470529718975,0.3148470529718975,0,2532,0,5510,8042,175.86343457102726,101.05869240164216,93.00194860306388,109.84409799903376,5.313093645463707,3.4549295587850533,3.337411675251047,2.2702663145979467,17.304299899725127,Kendi Ürettiğim Veri
HEDEF_2,Basic (CV),HEDEF_2,1.0,0.3343695598109923,0.5011648495014445,0.3343695598109923,0.3343695598109922,0,2689,0,5353,8042,236.34004043659533,127.20856969840756,129.57100244599306,151.2810293262092,8.039276606975582,7.1550922307936,2.995496773371738,2.112255338026488,18.78072162330482,Kendi Ürettiğim Veri
HEDEF_3,Basic (CV),HEDEF_3,1.0,0.2888584929122109,0.4482392667631452,0.2888584929122109,0.2888584929122109,0,2323,0,5719,8042,254.0884890696125,164.04279141360234,119.05723480286557,153.21976929889726,6.460774573717955,3.9956521865564048,4.250116778105639,2.7772070626678858,13.531113516000714,Kendi Ürettiğim Veri
HEDEF_4,Basic (CV),HEDEF_4,1.0,0.016662521760756,0.0327788649706457,0.016662521760756,0.016662521760756,0,134,0,7908,8042,326.7563431601811,100.511827208803,267.9693114887792,157.66904733266884,70.82146110346257,2.966568329559897,70.73341245157985,1.9139456967224229,3418.291450974732,Kendi Ürettiğim Veri
HEDEF_1,Advanced (CA+CI),HEDEF_1,1.0,0.373911962198458,0.5443026518236944,0.373911962198458,0.3739119621984581,0,3007,0,5035,8042,228.39249325391825,136.43188359273813,138.84891283602352,119.45899513361464,7.364076104267045,4.971913737601133,4.363892061791257,3.235140913210009,3.5205824601620908,Kendi Ürettiğim Veri
HEDEF_2,Advanced (CA+CI),HEDEF_2,0.9996265870052278,0.3328773936831634,0.4994402985074627,0.3328773936831634,0.3327530465058443,0,2677,1,5365,8042,288.79293332953046,149.14467032164023,178.24027177223115,171.42820997223603,13.509457844378732,12.1264018757827,4.989505844036106,3.249716945887668,4.05154390092589,Kendi Ürettiğim Veri
HEDEF_3,Advanced (CA+CI),HEDEF_3,1.0,0.2647351405123104,0.4186412348834923,0.2647351405123104,0.2647351405123104,0,2129,0,5913,8042,302.6676536795201,184.9769319534107,148.20701907871265,188.21775347923816,10.814481726660196,6.507582611644513,7.222854021757908,4.736534951762194,3.9151790132913673,Kendi Ürettiğim Veri
HEDEF_4,Advanced (CA+CI),HEDEF_4,1.0,0.0186520765978612,0.03662109375,0.0186520765978612,0.0186520765978612,0,150,0,7892,8042,334.176773988044,123.82271444359944,251.97967513687857,181.24098592423343,56.92755891686821,5.659192148000858,56.55242177195912,3.247168026442663,147.86500911419014,Kendi Ürettiğim Veri
HEDEF_1,IMM (CI),HEDEF_1,0.9908657664813344,0.6204924148221835,0.7631136259366875,0.6204924148221835,0.6147724446655061,0,4990,46,3052,8042,239.41769912868563,107.72078866704878,112.78862279752668,181.64744124941615,12.772100601631026,10.769323830772484,6.262258680494247,2.8164399913213,23.540070016609324,Kendi Ürettiğim Veri
HEDEF_2,IMM (CI),HEDEF_2,0.9960377358490566,0.6564287490673961,0.7913356318393043,0.6564287490673961,0.6538174583436955,0,5279,21,2763,8042,228.5217038972912,112.67817209656528,104.5175747537826,169.1208894627908,9.336629515202684,5.4638052145255225,7.052770279894115,2.7528012389055405,9.876660255499877,Kendi Ürettiğim Veri
HEDEF_3,IMM (CI),HEDEF_3,0.9966065747613998,0.5843073862223328,0.7366935799952967,0.5843073862223328,0.5823178313852275,0,4699,16,3343,8042,274.08808728073313,190.57290131134596,118.96653935263186,157.01341149546906,12.478678860278524,9.379506943260209,7.392834198408813,3.617772534880107,11.92326137014978,Kendi Ürettiğim Veri
HEDEF_4,IMM (CI),HEDEF_4,1.0,0.0338224322307883,0.0654318017801299,0.0338224322307883,0.0338224322307884,0,272,0,7770,8042,327.22457490471834,116.62021637655754,265.7461911525276,151.17741048775366,73.98915163605399,6.524256574188689,73.65670853273191,2.5530225422671977,1574.0871254566437,Kendi Ürettiğim Veri
HEDEF_1,Basic (CV),HEDEF_1,0.7781094527363184,0.6563155686109945,0.7120418848167538,0.6563155686109945,0.4691565253881662,0,1564,446,819,2383,244.22583342471168,141.87631301245654,119.7723363705456,158.65672679822737,4.180236483687597,2.5278908129358677,2.424259777628772,2.2819092067824656,20.930590424392808,Stone Soup
HEDEF_2,Basic (CV),HEDEF_2,0.6827586206896552,0.7477968946705833,0.7137993190466654,0.7477968946705833,0.400335711288292,0,1782,828,601,2383,259.29832286072207,154.1525487074686,102.85189239967497,181.36730740456085,10.51169065544924,9.419767164604274,4.101587131818081,2.222748298977277,41.22106633286016,Stone Soup
HEDEF_3,Basic (CV),HEDEF_3,0.6973270440251572,0.7444397817876626,0.7201136594276436,0.7444397817876626,0.4213176668065463,0,1774,770,609,2383,269.4860202255715,147.8085285960322,147.0799250864283,170.71276931695448,4.088704587289708,2.2959721511257736,2.4622884846755126,2.320162171403791,21.82590748054573,Stone Soup
HEDEF_4,Basic (CV),HEDEF_4,0.7682926829268293,0.0528745279060008,0.0989399293286219,0.0528745279060008,0.0369282417121276,0,126,38,2257,2383,352.9792702335196,165.09941692178575,235.83770889945947,204.24769963876747,64.04954805211933,9.994872229222675,63.224868093679454,2.25015318125038,613.6961187035869,Stone Soup
HEDEF_1,Advanced (CA+CI),HEDEF_1,0.9991830065359476,0.5132186319765002,0.6781258663709453,0.5132186319765002,0.5127989928661352,0,1223,1,1160,2383,233.3342555282129,126.11397577555796,111.4458717401291,161.6166995983708,7.827944376456722,4.12957590236534,3.950485255432369,5.34948429982885,8.433506184570062,Stone Soup
HEDEF_2,Advanced (CA+CI),HEDEF_2,0.993169398907104,0.6101552664708351,0.755913698986223,0.6101552664708351,0.6059588753671843,0,1454,10,929,2383,293.86095042619286,165.05115968425312,131.50627567015763,204.49565357638548,7.702331215217348,4.39161941186104,4.113322324137121,4.808343222777678,12.285495544339229,Stone Soup
HEDEF_3,Advanced (CA+CI),HEDEF_3,0.990443686006826,0.6088963491397398,0.754158004158004,0.6088963491397398,0.6030214015946287,0,1451,14,932,2383,296.01140865720976,160.32338451452466,154.7300422702984,194.8788866246551,8.813969795870541,4.749439542527678,5.053803687322194,5.439481214638146,12.289174043020582,Stone Soup
HEDEF_4,Advanced (CA+CI),HEDEF_4,0.9907407407407408,0.0449013848090642,0.085909273384183,0.0449013848090642,0.0444817456986991,0,107,1,2276,2383,357.1049346512472,155.88991611917183,243.07383367749256,210.08898063905156,63.35294719789692,4.42848189202356,62.97482260698385,5.306240138784817,352.0338030060509,Stone Soup
HEDEF_1,IMM (CI),HEDEF_1,0.9633152173913044,0.5950482584976919,0.7356679636835278,0.5950482584976919,0.5723877465379774,0,1418,54,965,2383,264.1389295021543,132.7227204969785,118.87523395329512,194.9941852850344,9.367247842534049,9.07525767876044,1.6663243892140769,1.615052085063757,90.2783477310719,Stone Soup
HEDEF_2,IMM (CI),HEDEF_2,0.9355210132412204,0.6819135543432648,0.7888349514563107,0.6819135543432648,0.6349139739823751,0,1625,112,758,2383,274.4440129966396,152.42958503644996,120.15345127954382,194.0306316562661,3.396024924497924,2.196739492665623,1.818759027504374,1.8437560817650616,18.76870857470191,Stone Soup
HEDEF_3,IMM (CI),HEDEF_3,0.8839285714285714,0.6647083508182963,0.7588023952095808,0.6647083508182963,0.5774234158623583,0,1584,208,799,2383,292.5015513039163,167.62895171011962,161.4877156603681,177.14234320048965,3.3191574631026453,2.124707050703401,1.8016537572177425,1.804569187552652,25.611202545542348,Stone Soup
HEDEF_4,IMM (CI),HEDEF_4,0.9823008849557522,0.0465799412505245,0.0889423076923077,0.0465799412505245,0.0457406630297944,0,111,2,2272,2383,359.0858685156149,183.8637736193584,248.52241912946164,182.6838277136293,67.42240429135782,1.8785608859647185,67.36407480599706,2.0815943305702898,1748.7256930704016,Stone Soup
