time,global_track_id,x,y,vx,vy,prob
50.57,GT-0026,-82090.38723665927,29014.622799401743,-63.30476089292466,48.72672903022474,0.918
70.51,GT-0026,-83550.44529488019,30122.716270139957,-75.34976665184745,51.869295510898056,0.891
90.74,GT-0108,-85506.32199491956,31317.889721610958,-80.46495991285909,58.93832620874068,0.984
112.2,GT-0108,-87275.07236341016,32649.03471432913,-88.43431901170835,69.7664255493968,0.878
136.74,GT-0108,-89474.84979714836,34640.366179816505,-94.59601892658095,90.85389747580251,0.863
185.92,GT-0284,-88347.04014573904,40995.127792939216,102.88308587095784,104.59748794714432,0.907
213.73,GT-0333,-84052.53879599512,41808.48556461071,155.5111370163304,-17.92251658575286,0.861
236.44,GT-0359,-80939.85332428208,40365.06987869751,140.291983618396,-77.72368331077226,0.914
258.38,GT-0359,-77867.98420933797,38546.06796526829,132.03002650193284,-78.51406813715896,0.875
281.01,GT-0411,-74634.71461788063,36548.13643940127,159.4896554668699,-69.91147222343079,0.931
299.49,GT-0411,-71762.6123437609,35307.924819919885,158.10982357408574,-66.39463222766985,0.868
299.49,GT-0456,-71535.34441635398,35509.201055636324,158.3573478478647,-66.99349501359544,0.893
320.24,GT-0456,-68279.50318528304,34140.86829386776,158.81066795882262,-65.15524762519922,0.89
344.91,GT-0456,-64336.92810756648,32509.940776548086,161.58909423696824,-65.69081277517724,0.94
369.98,GT-0559,-59985.71740720638,30792.998545571234,162.17054854391327,-67.73033699542984,0.894
397.92,GT-0559,-55291.346968986494,28890.720475884507,169.16819036182554,-66.84491251962724,0.941
417.88,GT-0559,-51915.165977507066,27561.557965550055,170.3741087887093,-64.02888849091147,0.891
439.73,GT-0559,-48154.46055592528,26113.322552209574,172.62841595919664,-64.73745788469363,0.935
458.24,GT-0700,-44765.578311339625,25035.99729252786,176.386182750479,-62.58021809161299,0.944
476.91,GT-0700,-41406.45064605052,23842.79347809746,180.52384846448027,-64.42008773684172,0.99
499.49,GT-0700,-37266.73189301241,22416.078425947944,184.1481331134904,-64.06601399926066,0.974
529.31,GT-0700,-31708.917814910325,20441.154787742984,186.83423178464813,-66.9050167877859,0.934
555.98,GT-0700,-26696.54505708764,18657.550551581982,188.09243535954232,-68.7511154618779,0.91
582.97,GT-0700,-21543.441395496113,16699.538639574854,193.11413920026308,-72.11178524465414,0.865
611.25,GT-0926,-15654.959606443383,14492.873841130699,198.4800051085571,-86.71831194096893,0.926
637.8,GT-0952,-11216.800940755247,11091.446661038999,163.87907311790397,-138.45395599647603,0.97
658.21,GT-0952,-7799.636919539945,8139.255227262504,165.11681548327826,-138.54291924668448,0.896
682.98,GT-0952,-3723.395436048259,4680.009127362108,160.6507636703831,-144.19734020007314,0.882
728.27,GT-1087,1966.6502564229713,-3391.2915159867835,109.58817697214228,-185.74986936847984,0.892
747.67,GT-1087,4162.689619950679,-7039.744521612027,110.52057699967968,-184.4211946009425,0.987
777.55,GT-1183,7716.570613994462,-12757.188789566022,112.84874630995094,-189.11704132637604,0.901
799.09,GT-1183,10170.115982292025,-16803.29946769202,115.9589567279562,-191.6023788294602,0.863
822.25,GT-1183,12842.058439008002,-21206.136249526342,118.07960398885533,-191.0436949254136,0.913
842.81,GT-1273,15609.208874644055,-25392.037060097828,120.17245989693596,-196.78776548979837,0.92
867.13,GT-1273,18555.91353213508,-30239.7136735498,120.11075774600636,-196.9611972626577,0.962
894.47,GT-1273,21923.713397473726,-35632.24503677167,122.75749343552899,-198.66306283285903,0.927
916.19,GT-1273,24562.17406489052,-39962.530467874814,120.72075984634436,-197.09963002494882,0.923
936.82,GT-1404,27176.830187702144,-44635.679129308955,123.21655453525463,-199.51124285348513,0.869
959.75,GT-1404,29938.533041746523,-49218.34482381312,121.39743686724069,-198.41578744414167,0.916
982.55,GT-1404,32752.447472725144,-53839.38498026317,120.5483753898293,-199.87114275379182,0.945
1030.02,GT-1404,38621.795707177815,-63372.823724637055,124.46705574369851,-203.78958960195953,0.864
1030.02,GT-1554,38651.42717008543,-63644.11281469265,121.49884468216624,-199.12751340355683,0.874
1053.41,GT-1554,41465.7524703984,-68354.50611758084,119.56706678658709,-202.14738348464934,0.923
1078.13,GT-1554,44461.99349204153,-73338.1372643758,125.31453272093414,-201.1205046154469,0.971
1105.41,GT-1554,47723.52273223201,-78748.48607270859,121.50424163158361,-201.7473504846869,0.893
1158.22,GT-1674,54468.11470000171,-89899.50727541992,121.4509608783404,-202.41886020809707,0.978
1176.31,GT-1674,56690.918161067406,-93589.72891638413,121.5222849609215,-203.2105226991613,0.934
1207.06,GT-1674,60426.100114405104,-99810.27130134484,121.41700645564056,-202.30858879718622,0.935
1231.72,GT-1674,63433.00074767075,-104824.49636534354,123.36612469806953,-203.9534288921175,0.915
1254.59,GT-1836,66308.91154266128,-109614.9259793994,121.8422595643282,-205.3448747169495,0.933
1280.32,GT-1836,69443.37497366744,-114905.63278906306,122.15778767905252,-205.38563174584323,0.934
1300.37,GT-1836,71859.65012757793,-118973.50087743794,119.68548340796121,-202.73797646982,0.935
1322.18,GT-1836,74504.24355794027,-123406.16118220458,117.24911426857953,-200.55407857224674,0.938
1345.24,GT-2007,77046.94299725773,-127942.20883365376,116.98519035624761,-200.6435217909685,0.938
1363.99,GT-2007,79264.15311890135,-131648.75273072673,115.28780394031631,-196.3592208927438,0.966
1383.62,GT-2007,81584.66804993071,-135576.57697948816,116.27339487059662,-195.90924362077334,0.988
1409.78,GT-2097,84521.04213893873,-140581.92021612744,114.48258093961563,-196.2495352067711,0.983
1437.01,GT-2097,87648.0355291005,-145949.75119589755,115.8692004633397,-195.89739536617722,0.987
1453.67,GT-2097,89623.74680411503,-149269.63072469813,115.25814257484596,-196.63489141139567,0.938
1474.93,GT-2205,91915.9869245108,-153343.30725492325,115.48926599859809,-196.0870967517631,0.942
1502.39,GT-2205,95086.17958223494,-158747.54309653296,113.5646549217046,-196.45568170378192,0.897
1524.1,GT-2205,97617.36766467505,-163060.84818623582,114.1484184718298,-196.7907664753335,0.938
1542.54,GT-2205,99759.52211367134,-166700.09107738477,113.16883001581937,-197.77330530417112,0.942
1565.33,GT-2359,102198.93871629788,-171229.30744374695,114.37626537765665,-198.5161851849548,0.888
