time,x,y,z,vx,vy,vz,callsign,lat,lon,alt_m,time_unix
0.0,-79046.41268093442,26542.228990055544,-7316.0,-33.31998156530689,24.915900229621844,0.0,PGT549U,50.0975,14.267,304.0,1782902140.0
27.0,-80845.69168546099,27887.687602455124,-7316.0,-44.145340781884805,32.760339499076636,3.630952380952381,PGT549U,50.1096,14.2419,304.0,1782902167.0
55.0,-82687.98134348213,29244.265707518738,-7011.0,-70.54341382622611,52.70482634166952,6.051587301587301,PGT549U,50.1218,14.2162,609.0,1782902195.0
97.0,-86014.13854706913,31757.27104968544,-6706.0,-79.29776329884338,59.66755063723775,10.118253968253969,PGT549U,50.1444,14.1698,914.0,1782902237.0
122.0,-88336.71383578077,33525.27038333415,-6401.0,-95.59743555574546,75.28779033254597,6.487301587301587,PGT549U,50.1603,14.1374,1219.0,1782902262.0
129.0,-89139.579367681,34192.43994320153,-6401.0,-98.27137829946348,89.93728066826743,21.01111111111111,PGT549U,50.1663,14.1262,1219.0,1782902269.0
135.0,-89662.87565186607,34815.131532411186,-6096.0,-87.21604736417204,100.34018380544211,16.944444444444446,PGT549U,50.1719,14.1189,1524.0,1782902275.0
141.0,-90021.29776432161,35426.70362895602,-6096.0,-66.18861676678061,118.97857150965972,16.944444444444446,PGT549U,50.1774,14.1139,1524.0,1782902281.0
146.0,-90279.36168528948,36182.82913013884,-6096.0,-43.09030285297954,123.3028186569599,0.0,PGT549U,50.1842,14.1103,1524.0,1782902286.0
152.0,-90386.88831902613,36883.3571679999,-6096.0,-22.700067122176147,136.02846026187277,20.266666666666666,PGT549U,50.1905,14.1088,1524.0,1782902292.0
157.0,-90379.71987677703,37583.885205860955,-5792.0,3.6638704828777313,131.33356335909627,20.266666666666666,PGT549U,50.1968,14.1089,1828.0,1782902297.0
163.0,-90214.8457050475,38406.72766303036,-5792.0,30.18710680458737,143.5650052899907,20.266666666666666,PGT549U,50.2042,14.1112,1828.0,1782902303.0
168.0,-89906.60268833573,39173.972656877995,-5792.0,52.23860058041655,132.86911234605455,14.523809523809524,PGT549U,50.2111,14.1155,1828.0,1782902308.0
175.0,-89433.48549989458,39930.09815806081,-5487.0,76.13340807745034,122.36736927407077,14.523809523809524,PGT549U,50.2179,14.1221,2133.0,1782902315.0
181.0,-88838.50479321844,40563.90923993451,-5487.0,102.17874824920936,108.28267856579299,14.523809523809524,PGT549U,50.2236,14.1304,2133.0,1782902321.0
185.0,-88279.36629778791,41008.688946513284,-5487.0,119.9291766755847,93.98618799718389,0.0,PGT549U,50.2276,14.1382,2133.0,1782902325.0
192.0,-87433.49011239289,41464.58814575531,-5487.0,134.66430796542213,74.21820103819718,16.944444444444446,PGT549U,50.2317,14.15,2133.0,1782902332.0
