time,arrival_time,sensor,local_track_id,callsign_true,x,y,z,vx,vy,vz,track_quality,sigma_pos_m,sigma_vel_mps,is_clutter
0.0,0.3,RADAR_A,RADAR_A-HEDEF_1,HEDEF_1,-79108.08941492725,26513.193861968495,-7208.589441780049,-35.02527717112553,24.05290725617866,-0.7686228008309015,10,80.0,2.0,False
0.0,0.3,RADAR_A,RADAR_A-HEDEF_2,HEDEF_2,368884.5185654307,27049.624513908682,-7067.921065150559,34.047844286615074,24.63217513184283,0.7806553220040697,10,80.0,2.0,False
0.0,0.3,RADAR_A,RADAR_A-HEDEF_4,HEDEF_4,368905.57512127183,26390.132637530904,-7465.573822047979,145.05513934491677,106.0353484674951,-0.2295673595999995,10,80.0,2.0,False
0.0,0.3,RADAR_A,RADAR_A-HEDEF_3,HEDEF_3,-79657.61986480365,-403979.61956868897,-7518.389804635516,-2.728444634354844,-26.39316318058248,-1.2143379869822515,10,80.0,2.0,False
0.0,0.8,RADAR_B,RADAR_B-HEDEF_3,HEDEF_3,-78720.17026045329,-403891.06360011606,-7382.977639268196,-5.965574783361042,-16.994752133335815,-0.5059217580457447,10,150.0,4.0,False
0.0,0.8,RADAR_B,RADAR_B-HEDEF_1,HEDEF_1,-79063.62598410336,26594.512591476876,-7381.6791215839685,-31.036967935072315,25.171792000633282,-1.42661228264724,10,150.0,4.0,False
0.0,0.8,RADAR_B,RADAR_B-HEDEF_4,HEDEF_4,369141.59567149886,26377.590275421044,-7084.468680523542,135.40379667441297,108.46524395593934,1.3292123929180784,10,150.0,4.0,False
0.0,0.8,RADAR_B,RADAR_B-HEDEF_2,HEDEF_2,369064.1516212492,26809.56095890587,-6279.964554374929,27.8308429145592,25.035719033076028,-6.573419962904691,10,150.0,4.0,False
0.0,1.5,RADAR_C,RADAR_C-HEDEF_1,HEDEF_1,-78878.86042411173,26257.090463400502,-7575.801985329997,-35.247892897546656,18.673650704566302,7.341830863926882,10,300.0,7.0,False
0.0,1.5,RADAR_C,RADAR_C-HEDEF_3,HEDEF_3,-79783.85512247306,-403582.3709104225,-6998.774237389651,-1.7078239938530404,-28.984956070334793,0.7944932584254228,10,300.0,7.0,False
0.0,1.5,RADAR_C,RADAR_C-HEDEF_4,HEDEF_4,368969.688920896,25796.467884812133,-7455.3769946279035,159.87181375942595,103.2417839546389,-1.1028861584916065,10,300.0,7.0,False
0.0,1.5,RADAR_C,RADAR_C-HEDEF_2,HEDEF_2,368391.43218715425,27945.09200268265,-7239.517048226853,43.913800813146125,22.016100168911702,-5.381523333394198,10,300.0,7.0,False
2.5,2.8,RADAR_A,RADAR_A-HEDEF_2,HEDEF_2,369032.8603331381,26367.88750077968,-7770.38476029963,35.155913856506174,23.475627231023033,-0.6859642078873055,10,80.0,2.0,False
2.5,2.8,RADAR_A,RADAR_A-HEDEF_4,HEDEF_4,369141.25337835855,26472.18406375665,-7778.466040403885,124.16820463305679,82.81498981570977,2.081224474969985,10,80.0,2.0,False
2.5,2.8,RADAR_A,RADAR_A-HEDEF_3,HEDEF_3,-79536.92947581435,-404088.1399333969,-7180.201295219459,-6.75529052281668,-30.273103613461316,0.2230446756729847,10,80.0,2.0,False
5.0,5.8,RADAR_B,RADAR_B-HEDEF_1,HEDEF_1,-79605.5206222348,26997.309164696922,-7445.670441677623,-37.13939909314307,26.137683483925574,-1.894627814954888,10,150.0,4.0,False
5.0,5.8,RADAR_B,RADAR_B-HEDEF_2,HEDEF_2,369181.27567249915,27941.067896717774,-7522.365048420545,30.008093925424284,22.332574058763736,-0.8679881733292991,10,150.0,4.0,False
5.0,5.8,RADAR_B,RADAR_B-HEDEF_3,HEDEF_3,-80039.15513339499,-404242.2115238473,-6852.230898471933,-8.402849459560716,-29.89184865200294,8.107452404892028,10,150.0,4.0,False
5.0,5.3,RADAR_A,RADAR_A-HEDEF_1,HEDEF_1,-79331.27917606491,26821.484307001007,-7176.46605768441,-32.645385882503525,24.49782999366959,0.45800589733485175,10,80.0,2.0,False
5.0,5.3,RADAR_A,RADAR_A-HEDEF_3,HEDEF_3,-79283.22600842112,-404380.87094388966,-7425.328207770526,-5.4848518430279745,-28.000034802339876,3.398335464764237,10,80.0,2.0,False
5.0,5.3,RADAR_A,RADAR_A-HEDEF_4,HEDEF_4,369183.36563729757,25916.60688756706,-7252.750854517977,106.56196587018205,57.43693774183055,2.122488362182861,10,80.0,2.0,False
5.0,5.3,RADAR_A,RADAR_A-HEDEF_2,HEDEF_2,369240.13621226215,27055.78032650055,-7710.421280989976,37.448685171130165,25.269795866790577,1.02350275236129,10,80.0,2.0,False
5.0,5.8,RADAR_B,RADAR_B-HEDEF_4,HEDEF_4,369152.8293062181,26288.53784674253,-7029.059263642451,108.95186377371782,50.55859064109538,3.1577201850823062,10,150.0,4.0,False
7.5,7.8,RADAR_A,RADAR_A-HEDEF_1,HEDEF_1,-79430.13206818196,26912.27966177872,-7228.370323380365,-31.667805917740885,25.491743810449552,3.4716529185456166,10,80.0,2.0,False
7.5,7.8,RADAR_A,RADAR_A-HEDEF_4,HEDEF_4,369163.1321296482,26572.438435198525,-7014.138934951944,88.53394238817891,26.412652802928505,1.0762796734199487,10,80.0,2.0,False
7.5,7.8,RADAR_A,RADAR_A-HEDEF_2,HEDEF_2,369452.43281661754,27022.272797242982,-7441.028534125119,33.61625201461882,26.66418437175262,1.2737535716017538,10,80.0,2.0,False
7.5,7.8,RADAR_A,RADAR_A-HEDEF_3,HEDEF_3,-79195.2795745269,-404420.38816849864,-6963.979163427733,-2.823630512588419,-26.188495832279663,3.3522259099522,10,80.0,2.0,False
10.0,10.8,RADAR_B,RADAR_B-HEDEF_3,HEDEF_3,-78987.68798313418,-404873.99182369927,-6013.969242929911,-6.566676813413143,-23.71826464421049,-2.7999058335812124,10,150.0,4.0,False
10.0,11.5,RADAR_C,RADAR_C-HEDEF_4,HEDEF_4,369229.1202311886,25588.22588596517,-7293.617842164301,67.69917528814966,4.5990920714098324,-12.49944544086954,10,300.0,7.0,False
10.0,10.8,RADAR_B,RADAR_B-HEDEF_1,HEDEF_1,-79694.46472981152,27082.30806325687,-7119.2450478559595,-37.179853571140534,27.90590094472404,-1.9605204994198724,10,150.0,4.0,False
10.0,11.5,RADAR_C,RADAR_C-HEDEF_3,HEDEF_3,-79099.61320631363,-404533.3915532907,-6803.55219827291,-15.124939118820391,-36.18502560638434,7.132667674789634,10,300.0,7.0,False
10.0,11.5,RADAR_C,RADAR_C-HEDEF_1,HEDEF_1,-80041.92727948193,26997.939485637617,-7557.61367517611,-42.84179268828971,32.174462627071286,-4.847141983102318,10,300.0,7.0,False
10.0,10.8,RADAR_B,RADAR_B-HEDEF_2,HEDEF_2,369335.7124860114,26669.07832235963,-6519.419638999626,37.82571449509963,22.08550825243537,-0.4269803981039977,10,150.0,4.0,False
