time,global_track_id,x,y,vx,vy,pos_sigma_m,vel_sigma_mps,sigma_x_m,sigma_vx_mps,sigma_y_m,sigma_vy_mps,fused_tq,prob,n_sources
7.14,GT-0001,-79450.63080776941,26836.427758529928,-34.326601227357514,25.77918501487948,52.58377508556915,2.3568957959079553,52.58377508556915,2.3568957959079553,52.58377508556915,2.3568957959079553,13,0.932,2
7.3,GT-0001,-79634.68878612196,26930.75700597922,-35.41214238942339,25.61696032085338,52.46041012602738,0.8747222916870523,52.46041012602738,0.8747222916870523,52.46041012602738,0.8747222916870523,13,0.989,2
9.63,GT-0001,-79691.97685391117,27008.67333967683,-37.730934205138425,27.75017805274237,52.460390122099724,0.8747231628991188,52.460390122099724,0.8747231628991188,52.460390122099724,0.8747231628991188,13,0.995,2
12.11,GT-0001,-79785.57555827293,27077.50478936632,-37.73273447177354,27.750051366696,52.63762975054875,2.5190980330477437,52.63762975054875,2.5190980330477437,52.63762975054875,2.5190980330477437,13,0.992,2
13.63,GT-0001,-79842.93432651855,27119.68931963779,-37.73451331285503,27.750427877194056,53.08088020169824,3.1262044649076586,53.08088020169824,3.1262044649076586,53.08088020169824,3.1262044649076586,13,0.987,2
14.37,GT-0001,-79870.83657132849,27140.220582317408,-37.73464877228105,27.747351087902928,53.449690663192236,3.3810083947439273,53.449690663192236,3.3810083947439273,53.449690663192236,3.3810083947439273,13,0.99,2
16.27,GT-0001,-79942.53822057178,27192.93458774452,-37.73408053083381,27.745783504586882,54.91923895698643,3.9649446930040657,54.91923895698643,3.9649446930040657,54.91923895698643,3.9649446930040657,13,0.983,3
16.71,GT-0001,-79959.13143987706,27205.259942693658,-37.740422187203194,27.7622559458689,55.39768220567025,4.081516618380949,55.39768220567025,4.081516618380949,55.39768220567025,4.081516618380949,13,0.99,3
18.81,GT-0001,-80038.48981702585,27263.57446537502,-37.75063911440793,27.75878138866733,58.3938428345939,4.619593037127688,58.3938428345939,4.619593037127688,58.3938428345939,4.619593037127688,13,0.99,3
19.3,GT-0001,-80057.0253526974,27277.204409771828,-37.758307613688885,27.760360298562546,59.30153482850059,4.735494090663158,59.30153482850059,4.735494090663158,59.30153482850059,4.735494090663158,13,0.989,3
21.59,GT-0001,-80146.14671621687,27345.845142184313,-37.95997693185882,28.393018305614532,64.42279949901484,5.053558469799898,64.42279949901484,5.053558469799898,64.42279949901484,5.053558469799898,12,0.99,3
22.89,GT-0001,-80195.5048328343,27382.748679027525,-37.9610529355341,28.3923102842175,67.85870254398027,5.335775519439975,67.85870254398027,5.335775519439975,67.85870254398027,5.335775519439975,12,0.987,3
23.76,GT-0001,-80267.96007542839,27439.240622882113,-41.694577238551574,31.70580319081921,67.61662151322088,4.042887485112363,67.61662151322088,4.042887485112363,67.61662151322088,4.042887485112363,12,0.991,3
24.53,GT-0001,-80300.07664705577,27463.661009512274,-41.695344271463,31.706573554930287,68.9920550196948,4.253310959105711,68.9920550196948,4.253310959105711,68.9920550196948,4.253310959105711,12,0.986,3
