time,global_track_id,x,y,vx,vy,prob
31.85,GT-0012,371011.3725000955,28149.111681999242,48.732330703878674,36.9337534541713,0.858
31.85,GT-0014,-80955.17527489112,28031.69809065474,-47.68381711710837,33.53360187980568,0.94
56.88,GT-0014,-82664.49810996935,29267.07940322009,-69.27622486569784,50.89769565330138,0.92
83.2,GT-0012,374556.39031834126,30849.592339341667,77.49788304665773,57.12007528117977,0.867
83.2,GT-0033,-84904.68426275806,30826.938512149492,-74.72829557621283,55.268996585567166,0.915
83.2,GT-0036,-87291.71932794484,-408443.1201725289,-489.2232613509913,-57.07432664217539,0.939
113.6,GT-0033,-87419.9456458571,32705.24377365989,-88.63668257503356,68.60854619497091,0.909
113.6,GT-0044,377355.28374689823,32742.7502458326,87.96333463746582,68.7145815983363,0.93
163.51,GT-0077,-86517.38651335154,-416037.2297792186,609.7405170234578,-138.12514265885338,0.855
163.51,GT-0080,-90217.48062430354,38483.16200839538,28.60904217945474,142.96334233259944,0.952
188.43,GT-0098,377817.08251242974,41232.966105924796,-121.4350204788442,92.86734971302079,0.876
188.43,GT-0100,-87811.29478954143,41338.0782015775,123.08968124336741,87.45629804456739,0.856
238.94,GT-0133,370518.3691985092,39949.4828485296,-139.12373275191632,-79.24833766205485,0.956
263.91,GT-0131,-77220.1446214596,37933.848802269466,136.30371417883322,-78.35861861110011,0.923
263.91,GT-0133,367134.581280374,37907.540018524924,-140.0605248795886,-77.55843564140075,0.877
289.64,GT-0146,363014.1238819427,36154.6046338898,-158.06881236739451,-67.04625061218047,0.91
289.64,GT-0150,-73004.29085895652,36125.337312907934,160.0257772011725,-67.31992666858228,0.864
318.68,GT-0146,358467.1734668706,34201.64511327168,-157.642073381052,-65.87817605476998,0.935
343.57,GT-0146,354480.750548179,32525.118693415978,-162.19124963161758,-64.81359549023023,0.886
370.9,GT-0178,349719.44898986566,30693.72735740659,-163.62936499430944,-67.2944217114527,0.904
370.9,GT-0182,-59827.489822322714,30710.144627769518,165.84408739374086,-67.42535909482534,0.921
397.88,GT-0178,345138.4927759682,28892.857835537656,-169.40098926848003,-65.9516943970699,0.884
397.88,GT-0182,-55269.70995653834,28868.672336291078,169.20958304750016,-66.84126756586087,0.978
