time,global_track_id,x,y,vx,vy,pos_sigma_m,vel_sigma_mps,sigma_x_m,sigma_vx_mps,sigma_y_m,sigma_vy_mps,fused_tq,prob,n_sources
8.31,GT-0001,-79541.45569634008,26854.096859904585,-35.76671346690879,27.173221110241727,90.16308241595102,0.8747494267173341,90.16308241595102,0.8747494267173341,90.16308241595102,0.8747494267173341,11,0.958,2
10.01,GT-0001,-79602.25870555245,26900.296139897273,-35.76536026867691,27.173906966968985,90.23488471592839,2.143154204680077,90.23488471592839,2.143154204680077,90.23488471592839,2.143154204680077,11,0.98,3
11.21,GT-0001,-79645.328448158,26932.763713075947,-35.771441288066924,27.169650283010817,90.35752926268646,2.6976991907454857,90.35752926268646,2.6976991907454857,90.35752926268646,2.6976991907454857,11,0.991,3
14.17,GT-0001,-79751.28938502,27013.22620124855,-35.775370773227905,27.173580154171248,91.22815903638266,3.731516774979234,91.22815903638266,3.731516774979234,91.22815903638266,3.731516774979234,11,0.991,3
15.65,GT-0001,-79804.2859770453,27053.545444152736,-35.78106996987856,27.174343456943433,92.13982280295635,4.153016219360158,92.13982280295635,4.153016219360158,92.13982280295635,4.153016219360158,11,0.989,3
18.41,GT-0001,-79902.97063980452,27128.59884794397,-35.779859224699976,27.179648001576822,94.9149512268447,4.843103150444266,94.9149512268447,4.843103150444266,94.9149512268447,4.843103150444266,11,0.988,4
20.18,GT-0001,-79980.95671146271,27181.915108352827,-36.84427336044337,27.45622691637277,97.4515732033904,4.853842320200965,97.4515732033904,4.853842320200965,97.4515732033904,4.853842320200965,11,0.991,5
20.74,GT-0001,-80001.63871016577,27197.362372157193,-36.85158894367669,27.460116300127424,98.34009585860704,4.981580838810467,98.34009585860704,4.981580838810467,98.34009585860704,4.981580838810467,11,0.988,5
22.67,GT-0001,-80128.46091834463,27298.729025862514,-40.58500757052616,29.383575653129213,99.08975623407234,3.5258281443671815,99.08975623407234,3.5258281443671815,99.08975623407234,3.5258281443671815,11,0.993,5
24.68,GT-0001,-80210.3914759851,27358.083633633993,-40.60481503079461,29.38931860618891,101.02050853388845,4.110942150719426,101.02050853388845,4.110942150719426,101.02050853388845,4.110942150719426,11,0.992,5
25.01,GT-0001,-80223.89686284286,27367.829676345016,-40.60616167803403,29.39688852775066,101.43302660069925,4.2006692988113175,101.43302660069925,4.2006692988113175,101.43302660069925,4.2006692988113175,11,0.988,5
26.98,GT-0001,-80309.74355829306,27431.50745863816,-40.90217189187388,29.44049906098536,103.99343442783041,4.517133057136119,103.99343442783041,4.517133057136119,103.99343442783041,4.517133057136119,11,0.991,5
29.01,GT-0001,-80392.77496723356,27491.27167173196,-40.90217189187388,29.44049906098536,107.16085229114263,4.99719832064647,107.16085229114263,4.99719832064647,107.16085229114263,4.99719832064647,10,0.962,5
30.28,GT-0001,-80444.9481988756,27528.814680169227,-40.92319360690067,29.449771798634856,109.58919208098273,5.272037438460151,109.58919208098273,5.272037438460151,109.58919208098273,5.272037438460151,10,0.982,5
31.28,GT-0001,-80485.8713924825,27558.26445196786,-40.92319360690067,29.449771798634856,111.72207844915512,5.481275285234767,111.72207844915512,5.481275285234767,111.72207844915512,5.481275285234767,10,0.952,5
31.28,GT-0002,-81109.95696093749,27932.51345955717,-46.88994910085994,33.38357366122571,118.45364053005922,2.728523008144691,118.45364053005922,2.728523008144691,118.45364053005922,2.728523008144691,10,0.894,1
33.32,GT-0001,-80569.35470744058,27618.341986437077,-40.92319360690067,29.449771798634856,116.77297690829667,5.885098024037108,116.77297690829667,5.885098024037108,116.77297690829667,5.885098024037108,10,0.923,5
33.32,GT-0002,-81205.52606186245,28000.73506030689,-46.89176661513599,33.4004069862185,118.81923209737441,3.4657323363150057,118.81923209737441,3.4657323363150057,118.81923209737441,3.4657323363150057,10,0.972,1
35.68,GT-0001,-80665.93344435286,27687.843447881856,-40.92319360690067,29.449771798634856,123.82731983338898,6.320156544938224,123.82731983338898,6.320156544938224,123.82731983338898,6.320156544938224,10,0.896,5
35.68,GT-0002,-81316.3828531298,28079.672579245977,-46.92664444523217,33.420818781533924,119.76545769947629,4.155101125569108,119.76545769947629,4.155101125569108,119.76545769947629,4.155101125569108,10,0.988,1
36.36,GT-0001,-80694.00366277204,27708.185540267787,-40.93887251350816,29.47765830075832,126.14129246981373,6.439688845362717,126.14129246981373,6.439688845362717,126.14129246981373,6.439688845362717,10,0.956,5
36.36,GT-0002,-81348.29297135257,28102.398736017418,-46.92664444523217,33.420818781533924,120.16950051814044,4.335304529523349,120.16950051814044,4.335304529523349,120.16950051814044,4.335304529523349,10,0.958,1
38.16,GT-0001,-80767.69363329635,27761.24532520915,-40.93887251350816,29.47765830075832,132.6891797295648,6.746820912480855,132.6891797295648,6.746820912480855,132.6891797295648,6.746820912480855,10,0.927,5
38.16,GT-0002,-81433.28577873664,28162.82625814953,-46.979567993097135,33.451667879803324,121.59700580894904,4.768569607877597,121.59700580894904,4.768569607877597,121.59700580894904,4.768569607877597,10,0.985,1
41.05,GT-0001,-80886.00697486039,27846.435757698342,-40.93887251350816,29.47765830075832,144.76035340931023,7.212634222327443,144.76035340931023,7.212634222327443,144.76035340931023,7.212634222327443,9,0.899,5
41.05,GT-0002,-81595.86484396252,28286.983497252942,-50.595882469426556,36.27154157633706,124.50467581090444,4.467144271851001,124.50467581090444,4.467144271851001,124.50467581090444,4.467144271851001,10,0.991,1
43.16,GT-0001,-80972.38799586389,27908.63361671294,-40.93887251350816,29.47765830075832,154.73668667253975,7.534559869367885,154.73668667253975,7.534559869367885,154.73668667253975,7.534559869367885,9,0.872,5
43.16,GT-0002,-81771.41019451512,28418.739103016018,-59.293644045727945,41.68287609025838,118.94731531618373,1.5296295232924204,118.94731531618373,1.5296295232924204,118.94731531618373,1.5296295232924204,10,0.993,1
45.51,GT-0002,-81910.75093788719,28516.70136674394,-59.29313855828467,41.68278474006685,119.10145641374407,2.7630858988870646,119.10145641374407,2.7630858988870646,119.10145641374407,2.7630858988870646,10,0.984,2
45.86,GT-0002,-81931.6501968882,28531.506183197856,-59.29930771612315,41.701683296830275,119.15817460660905,2.900544720935179,119.15817460660905,2.900544720935179,119.15817460660905,2.900544720935179,10,0.99,2
46.31,GT-0002,-81958.3179317627,28550.290698118948,-59.29968353722405,41.703105968588496,119.27465954020505,3.071284762131007,119.27465954020505,3.071284762131007,119.27465954020505,3.071284762131007,10,0.987,3
51.44,GT-0002,-82262.68794749888,28764.839925298464,-59.33112630986807,41.74643375775341,121.52420749648743,4.570342432493004,121.52420749648743,4.570342432493004,121.52420749648743,4.570342432493004,10,0.991,4
51.59,GT-0002,-82271.74145832664,28771.242863962634,-59.34962431096233,41.756072475131276,121.68735020382427,4.605482492656221,121.68735020382427,4.605482492656221,121.68735020382427,4.605482492656221,10,0.989,4
53.25,GT-0002,-82540.45060174167,28904.2697432451,-66.54404409484691,53.26436891109953,119.38416936367332,1.5296321091089573,119.38416936367332,1.5296321091089573,119.38416936367332,1.5296321091089573,10,0.993,4
54.46,GT-0002,-82620.93838891464,28968.692651008227,-66.5444032866159,53.26613963350721,119.46234973832956,2.2510340090275185,119.46234973832956,2.2510340090275185,119.46234973832956,2.2510340090275185,10,0.985,4
55.36,GT-0002,-82680.78946498464,29016.767028635146,-66.54475247679743,53.2673976830974,119.55429263962475,2.663119900772379,119.55429263962475,2.663119900772379,119.55429263962475,2.663119900772379,10,0.989,4
56.08,GT-0002,-82726.98829657544,29220.802715175847,-73.10980029445807,55.747047324202065,119.51387698589556,1.529500588009735,119.51387698589556,1.529500588009735,119.51387698589556,1.529500588009735,10,0.993,4
58.2,GT-0002,-82881.83369405493,29339.128014576716,-73.1153328733763,55.7475882019333,119.60612750196127,2.6653489103194232,119.60612750196127,2.6653489103194232,119.60612750196127,2.6653489103194232,10,0.992,4
60.2,GT-0002,-83028.10213912133,29450.654602704773,-73.11525750141051,55.746340537303475,119.96236347905582,3.406597651496338,119.96236347905582,3.406597651496338,119.96236347905582,3.406597651496338,10,0.99,4
61.29,GT-0002,-83107.6378391476,29511.5238019808,-73.10095437024694,55.73674349063559,120.30055592432254,3.744718357835959,120.30055592432254,3.744718357835959,120.30055592432254,3.744718357835959,10,0.992,4
63.88,GT-0002,-83296.95881763172,29655.883434141644,-73.08808581816356,55.73440162207004,121.68268228822029,4.451377269509203,121.68268228822029,4.451377269509203,121.68268228822029,4.451377269509203,10,0.991,4
65.35,GT-0002,-83404.399859952,29737.73488534404,-73.09191872713234,55.73254827101388,122.94561562081714,4.806482764165241,122.94561562081714,4.806482764165241,122.94561562081714,4.806482764165241,10,0.989,4
66.3,GT-0002,-83476.69585758846,29789.874999264743,-72.88986917032321,55.68879969932516,123.90974672043757,4.784035979924554,123.90974672043757,4.784035979924554,123.90974672043757,4.784035979924554,10,0.991,4
69.07,GT-0002,-83606.42027325711,29891.192292568907,-72.95258633708399,53.12657478799198,120.20661614219368,1.529640666342338,120.20661614219368,1.529640666342338,120.20661614219368,1.529640666342338,10,0.993,4
69.45,GT-0002,-83634.12297104309,29911.32251380183,-72.95231278710044,53.12717172350894,120.26531014443731,1.7882570139533571,120.26531014443731,1.7882570139533571,120.26531014443731,1.7882570139533571,10,0.986,4
71.01,GT-0002,-83878.85789910638,30030.971306754534,-70.93300117046354,54.79922687845862,120.29899000533726,1.7820028804338512,120.29899000533726,1.7820028804338512,120.29899000533726,1.7820028804338512,10,0.992,4
73.43,GT-0002,-84050.6153966869,30163.679095335636,-70.93588449341524,54.80066855785722,120.4871310169771,2.935769151808296,120.4871310169771,2.935769151808296,120.4871310169771,2.935769151808296,10,0.991,4
75.59,GT-0002,-84203.87921092902,30282.06714045367,-70.94218994749772,54.80017393954104,121.01575783405389,3.6711922088537587,121.01575783405389,3.6711922088537587,121.01575783405389,3.6711922088537587,10,0.989,4
75.76,GT-0002,-84216.13732026654,30291.539734045567,-70.95951174319922,54.804596936878134,121.0895416383115,3.718442637093959,121.0895416383115,3.718442637093959,121.0895416383115,3.718442637093959,10,0.991,4
76.4,GT-0002,-84261.55928380691,30326.637118187744,-70.95669077762099,54.804095105255804,121.39436531780358,3.90898717304657,121.39436531780358,3.90898717304657,121.39436531780358,3.90898717304657,10,0.985,5
80.35,GT-0002,-84542.07118007525,30543.307411374233,-70.97801094683246,54.82822239225047,124.23422094118646,4.91014486834867,124.23422094118646,4.91014486834867,124.23422094118646,4.91014486834867,10,0.989,5
81.14,GT-0002,-84598.34316684793,30586.776214467114,-71.0040546644741,54.84263380488497,125.13251849744206,5.081165687153654,125.13251849744206,5.081165687153654,125.13251849744206,5.081165687153654,10,0.99,6
84.18,GT-0002,-84830.29539008444,30765.742644261616,-74.96609559775834,55.87011106927497,128.03331804590673,4.24538806816386,128.03331804590673,4.24538806816386,128.03331804590673,4.24538806816386,10,0.992,6
84.77,GT-0002,-84874.49408155648,30798.74985505546,-74.96528725346127,55.8707464079952,128.6679147555557,4.400520673115962,128.6679147555557,4.400520673115962,128.6679147555557,4.400520673115962,10,0.986,6
87.39,GT-0002,-85071.10133883564,30945.508773498175,-74.97024834152535,55.88700982732786,131.87080723176408,5.0193870997357095,131.87080723176408,5.0193870997357095,131.87080723176408,5.0193870997357095,10,0.989,6
90.37,GT-0002,-85445.37218257402,31228.271513479896,-78.15104937757827,57.38120334135766,121.35775523170729,1.5296435528713512,121.35775523170729,1.5296435528713512,121.35775523170729,1.5296435528713512,10,0.993,6
90.44,GT-0002,-85450.83851397003,31232.324126299773,-78.15159304613833,57.38139130544228,121.41286423730092,1.5810293737772358,121.41286423730092,1.5810293737772358,121.41286423730092,1.5810293737772358,10,0.987,6
92.69,GT-0002,-85626.66137006626,31361.458596817538,-78.15071422909821,57.382299728217546,121.52173900908916,2.7487610936423823,121.52173900908916,2.7487610936423823,121.52173900908916,2.7487610936423823,10,0.991,6
94.2,GT-0002,-85744.75696681149,31448.213116967832,-78.15019923113152,57.38203024738619,121.7917334107087,3.309764390819766,121.7917334107087,3.309764390819766,121.7917334107087,3.309764390819766,10,0.989,6
97.41,GT-0002,-85995.71627737735,31632.50635929188,-78.1540916295217,57.383587004496704,123.03415106950642,4.256053210614624,123.03415106950642,4.256053210614624,123.03415106950642,4.256053210614624,10,0.992,7
98.92,GT-0002,-86113.7558782196,31719.2323113685,-78.15697293334802,57.39721291939159,124.1172468039814,4.633332800916151,124.1172468039814,4.633332800916151,124.1172468039814,4.633332800916151,10,0.991,7
99.83,GT-0002,-86184.86883714364,31771.47019052865,-78.16049159100828,57.403343545967346,124.98780162027228,4.850183268616983,124.98780162027228,4.850183268616983,124.98780162027228,4.850183268616983,10,0.987,8
100.08,GT-0002,-86204.46406774543,31785.800715084057,-78.16753701711195,57.40436055746508,125.28714876679886,4.90755869249234,125.28714876679886,4.90755869249234,125.28714876679886,4.90755869249234,10,0.987,8
101.14,GT-0002,-86178.14857334908,31818.430514441912,-81.18740755801542,59.59958040563408,121.97543969985978,1.5296359684171086,121.97543969985978,1.5296359684171086,121.97543969985978,1.5296359684171086,10,0.992,8
102.92,GT-0002,-86322.73110411456,31924.58423431609,-81.19240514573221,59.60522127479291,122.05635002380286,2.5190279487304177,122.05635002380286,2.5190279487304177,122.05635002380286,2.5190279487304177,10,0.991,8
103.71,GT-0002,-86386.86931329189,31971.677958597847,-81.19358997956112,59.60596384699994,122.18202708727658,2.8513477454228573,122.18202708727658,2.8513477454228573,122.18202708727658,2.8513477454228573,10,0.986,8
105.34,GT-0002,-86519.36355001661,32069.02168770015,-81.1965215978284,59.60802952360475,122.49551249634088,3.433648546770025,122.49551249634088,3.433648546770025,122.49551249634088,3.433648546770025,10,0.989,8
107.79,GT-0002,-86718.39713430591,32215.151015988686,-81.1991877752767,59.622489668002814,123.45606947190497,4.1566391418671795,123.45606947190497,4.1566391418671795,123.45606947190497,4.1566391418671795,10,0.99,8
108.37,GT-0002,-87148.8748123732,32627.907948575845,-86.69074262156289,66.46546140629131,122.44080833399296,1.5296077220859328,122.44080833399296,1.5296077220859328,122.44080833399296,1.5296077220859328,10,0.993,8
111.04,GT-0002,-87380.226239747,32805.28532281787,-86.69439833972402,66.4676609269097,122.60027763741085,2.8889072883922426,122.60027763741085,2.8889072883922426,122.60027763741085,2.8889072883922426,10,0.991,8
113.05,GT-0002,-87554.41691972835,32938.82524804417,-86.69916727059545,66.47331567501365,123.03434777943453,3.58579201037726,123.03434777943453,3.58579201037726,123.03434777943453,3.58579201037726,10,0.991,8
