time,global_track_id,x,y,vx,vy,pos_sigma_m,vel_sigma_mps,sigma_x_m,sigma_vx_mps,sigma_y_m,sigma_vy_mps,fused_tq,prob,n_sources
5.71,GT-0002,-79408.88735497868,26769.162277575375,-35.366753243559174,26.948802793984758,61.052644761263245,0.8200302840592,61.052644761263245,0.8200302840592,61.052644761263245,0.8200302840592,12,0.969,1
7.62,GT-0001,369828.36766274396,26332.867905509258,36.68831647065104,26.872740074287567,230.1912911524328,0.6481804088747205,230.1912911524328,0.6481804088747205,230.1912911524328,0.6481804088747205,8,0.974,2
7.62,GT-0002,-79476.43785367388,26820.634490911885,-35.366753243559174,26.948802793984758,61.129508432177545,2.2293383921635166,61.129508432177545,2.2293383921635166,61.129508432177545,2.2293383921635166,12,0.94,1
7.95,GT-0001,369840.4748071793,26341.735909733772,36.68831647065104,26.872740074287567,230.19217034688205,1.0782568536526906,230.19217034688205,1.0782568536526906,230.19217034688205,1.0782568536526906,8,0.945,2
7.95,GT-0002,-79507.09001032556,26856.74855793239,-36.80256368348684,27.597767726491536,49.27026885742173,0.6372318370729516,49.27026885742173,0.6372318370729516,49.27026885742173,0.6372318370729516,13,0.993,1
8.23,GT-0001,369850.7475357911,26349.260276954574,36.68831647065104,26.872740074287567,230.19333374549544,1.3388942611158658,230.19333374549544,1.3388942611158658,230.19333374549544,1.3388942611158658,8,0.917,2
8.23,GT-0002,-79517.39472815693,26864.47593289581,-36.80256368348684,27.597767726491536,49.272756027444764,1.0178724940675867,49.272756027444764,1.0178724940675867,49.272756027444764,1.0178724940675867,13,0.963,1
10.0,GT-0001,369915.6858559441,26396.82502688606,36.68831647065104,26.872740074287567,230.22362208974764,2.4031516478260375,230.22362208974764,2.4031516478260375,230.22362208974764,2.4031516478260375,8,0.889,2
10.0,GT-0002,-79582.5352658767,26913.3239817717,-36.80256368348684,27.597767726491536,49.36768208592941,2.2402152606790646,49.36768208592941,2.2402152606790646,49.36768208592941,2.2402152606790646,13,0.934,1
10.34,GT-0001,369766.2630233249,26753.495586926987,35.26645598150495,28.464065780845697,188.94906848930623,1.053527788538865,188.94906848930623,1.053527788538865,188.94906848930623,1.053527788538865,8,0.98,2
