time,global_track_id,x,y,vx,vy,prob
67.32,GT-0030,-83541.57147224351,29901.944070541147,-68.38546640259365,60.55319315304654,0.856
67.32,GT-0035,-83573.90793406584,29711.076905001875,-76.2193900734923,45.63176530531845,0.874
67.32,GT-0037,373494.32099590125,30013.708476902128,72.61655759833907,60.159219915112416,0.942
98.19,GT-0030,-85984.79415810194,31690.28562294453,-81.23631456159606,57.36337234738229,0.871
132.61,GT-0034,379217.8726723366,34269.7095979368,94.39391524269625,85.42999313125831,0.881
132.61,GT-0060,-89368.9442306415,34553.64560546384,-97.40838256486646,93.13043257859913,0.885
194.94,GT-0123,-87091.67857963951,41696.771734905575,137.68103162360242,79.91887419228455,0.859
258.56,GT-0160,367850.2800989693,38762.328810610205,-136.8008145525185,-76.83462938049256,0.874
294.53,GT-0185,-72442.03137993891,35948.81595337571,161.0222759789248,-64.3624919565665,0.854
330.31,GT-0186,-66698.5524737425,33446.20744465445,160.979983952456,-62.531006049159764,0.98
362.35,GT-0186,-61550.34528395744,31220.795765584713,159.19726443032138,-77.43639103564365,0.891
393.8,GT-0228,345913.864172644,28876.571060530136,-169.2103674221436,-66.48040470334657,0.891
428.83,GT-0243,-49888.3233170245,26878.293017377437,167.8651819094722,-70.9044292995278,0.989
458.59,GT-0242,334672.39899288485,24591.276727033885,-175.57614740269946,-62.70388360982504,0.913
489.18,GT-0276,329039.87181499385,23215.584577417103,-180.29415699472682,-61.7486953626362,0.917
518.61,GT-0268,-33703.51758566486,21259.16556087102,186.2394817483181,-62.99895390270744,0.904
549.22,GT-0268,-27996.438490265013,19063.614630109725,187.8463057015046,-68.68640268916866,0.993
576.76,GT-0276,312709.24687439884,17217.183803986543,-192.7741506902675,-73.07767960499469,0.961
608.07,GT-0344,306390.5922171957,14407.419795394993,-198.87697555071694,-81.0276628401464,0.936
638.85,GT-0378,-5757.3207918357,-388666.5985689087,690.5587685152065,136.17366922437805,0.859
666.72,GT-0367,296269.12869864237,7302.856550102271,-165.70154463975956,-143.28819879249997,0.916
666.72,GT-0370,-6345.815884800094,6938.604465961102,165.25093076555913,-137.45666638381587,0.931
666.72,GT-0388,296346.9138693827,6997.211672557833,-163.39545865782404,-140.59930184284767,0.851
696.03,GT-0419,4526.415801100032,-380154.5633458528,-399.213259954342,157.99016713607284,0.898
727.01,GT-0429,1854.618587370839,-3113.1666361583266,109.44419327003534,-186.79060581883678,0.984
759.98,GT-0429,5548.734069884287,-9288.983276350575,113.91343317971422,-185.02800237525946,0.953
854.37,GT-0477,16881.16601720871,-27759.25940778025,118.26671010167496,-197.9433032471491,0.875
854.37,GT-0479,272992.1135469767,-27816.023538200792,-119.32799287576012,-192.41576893488724,0.954
885.44,GT-0477,20667.70047486809,-33987.96868214246,116.76250071543791,-200.74179986311069,0.873
885.44,GT-0479,269182.0204758954,-33887.233036105594,-124.50898846459394,-192.56161964428958,0.914
911.14,GT-0477,23724.48285165267,-39182.30681721,112.16846460027088,-199.65374502433033,0.93
939.77,GT-0515,262487.68826092745,-44841.31535926399,-122.41662338920547,-200.25060152042178,0.853
964.83,GT-0579,259404.28419290777,-50293.67099366373,-119.56066967165845,-191.55553889410888,0.89
990.37,GT-0583,256133.73749076523,-55491.47168272486,-118.42528397533367,-193.74433816676068,0.963
990.37,GT-0584,33773.35728148279,-55426.051198976864,124.99784370070392,-198.4821377847466,0.912
1047.55,GT-0567,40701.78080674595,-66852.41561048802,131.5609083766351,-193.91054476576556,0.885
1076.78,GT-0617,44350.62234257602,-73226.6849271364,131.0869528452402,-196.93117646055433,0.936
1076.78,GT-0639,33274.094141039976,-304376.1816095147,-247.39831599721248,199.30958384204754,0.914
