target,algorithm,callsign,precision,recall,f1_score,coverage,mota,id_switches,total_tp,total_fp,total_fn,total_gt,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees
HEDEF_1,Basic (CV),HEDEF_1,0.7781094527363184,0.6563155686109945,0.7120418848167538,0.6563155686109945,0.4691565253881662,0,1564,446,819,2383,244.22583342471168,141.87631301245654,119.7723363705456,158.65672679822737,4.180236483687597,2.5278908129358673,2.424259777628772,2.2819092067824656,20.930590424392808
HEDEF_2,Basic (CV),HEDEF_2,0.6827586206896552,0.7477968946705833,0.7137993190466654,0.7477968946705833,0.40033571128829204,0,1782,828,601,2383,259.29832286072207,154.1525487074686,102.85189239967495,181.36730740456085,10.511690655449241,9.419767164604274,4.101587131818081,2.222748298977277,41.221066332860154
HEDEF_3,Basic (CV),HEDEF_3,0.6973270440251572,0.7444397817876626,0.7201136594276436,0.7444397817876626,0.42131766680654636,0,1774,770,609,2383,269.4860202255715,147.8085285960322,147.0799250864283,170.71276931695448,4.088704587289708,2.2959721511257736,2.4622884846755126,2.320162171403791,21.82590748054573
HEDEF_4,Basic (CV),HEDEF_4,0.8141592920353983,0.6563155686109945,0.7267657992565056,0.6563155686109945,0.5065044062106588,0,1564,357,819,2383,307.2089639897703,153.5658607142394,189.46232455895287,186.81247696950237,10.868515366053467,7.715055494042862,7.3465887622456805,2.151784967050576,31.197835113310084
HEDEF_1,Advanced (CA+CI),HEDEF_1,0.9671532846715328,0.6672261854804867,0.7896697293270425,0.6672261854804867,0.6445656735207721,0,1590,54,793,2383,252.10673201442054,140.15734189884583,126.12511084419425,167.3504713270345,12.389800633165077,8.81963370358931,7.124667212017713,4.996032243900052,8.881706953570573
HEDEF_2,Advanced (CA+CI),HEDEF_2,0.9475108225108225,0.7347880822492656,0.827700307255968,0.7347880822492656,0.6940830885438523,0,1751,97,632,2383,295.3120549241407,168.04444953888157,128.09389760805053,206.30614668077936,10.86484156239213,5.930003310822582,5.417042467045836,7.316795324439423,13.210953223575322
HEDEF_3,Advanced (CA+CI),HEDEF_3,0.9279749478079332,0.746118338229123,0.8271691090951384,0.746118338229123,0.6882081409987411,0,1778,138,605,2383,298.959759757844,150.71909373000068,165.89440167376327,197.8376613109323,11.244323863291639,5.632774642337828,6.4502240590163895,7.287062409483803,11.874413471249879
HEDEF_4,Advanced (CA+CI),HEDEF_4,0.9275843007186291,0.7041544271926143,0.8005725190839694,0.7041544271926143,0.649181703734788,0,1678,131,705,2383,310.74258834430833,132.80574846886975,204.3703288154173,192.75984562253046,11.41016285893386,7.016531906740628,8.057594015865316,4.004406965403981,15.1141008028557
HEDEF_1,IMM (CI),HEDEF_1,0.9633152173913043,0.5950482584976919,0.7356679636835278,0.5950482584976919,0.5723877465379774,0,1418,54,965,2383,264.1389295021543,132.7227204969785,118.87523395329511,194.9941852850344,9.367247842534047,9.07525767876044,1.6663243892140767,1.615052085063757,90.2783477310719
HEDEF_2,IMM (CI),HEDEF_2,0.9355210132412205,0.6819135543432648,0.7888349514563107,0.6819135543432648,0.6349139739823751,0,1625,112,758,2383,274.4440129966396,152.42958503644996,120.15345127954382,194.03063165626614,3.3960249244979237,2.196739492665623,1.8187590275043741,1.8437560817650618,18.76870857470191
HEDEF_3,IMM (CI),HEDEF_3,0.8839285714285714,0.6647083508182963,0.7588023952095808,0.6647083508182963,0.5774234158623583,0,1584,208,799,2383,292.5015513039163,167.62895171011962,161.4877156603681,177.14234320048965,3.3191574631026453,2.124707050703401,1.8016537572177422,1.8045691875526517,25.611202545542348
HEDEF_4,IMM (CI),HEDEF_4,0.9085820895522388,0.4087284934955938,0.5638205499276412,0.4087284934955938,0.3676038606798153,0,974,98,1409,2383,308.5671070824309,161.6105283949641,203.31277833314002,166.61215697415463,7.052881895806887,5.193825669343357,4.457397071920569,1.7026242380233283,32.06383720779825
