event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,4.02,HEDEF_1,RADAR_A,RADAR_A-T2271,,,,,,False,False,create,GT-0001,True,False
measurement,4.07,HEDEF_3,RADAR_A,RADAR_A-T3260,,,,,,False,False,create,GT-0002,True,False
measurement,4.08,HEDEF_4,RADAR_A,RADAR_A-T8044,,,,,,False,False,create,GT-0003,True,False
measurement,4.08,HEDEF_5,RADAR_A,RADAR_A-T8270,,,,,,False,False,create,GT-0004,True,False
measurement,6.31,HEDEF_1,RADAR_A,RADAR_A-T2271,GT-0001,0.4538958401220902,16.014326314940615,0.1794479676377284,11.618285980628052,False,False,source_map,GT-0001,False,False
measurement,6.31,HEDEF_5,RADAR_A,RADAR_A-T8270,GT-0004,3.971754744136226,16.014326314940615,0.023058133209593157,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,6.63,HEDEF_3,RADAR_A,RADAR_A-T3260,GT-0002,1.1186528676159215,16.014326314940615,0.09880614487782467,11.618285980628052,False,False,source_map,GT-0002,False,False
measurement,6.92,HEDEF_4,RADAR_A,RADAR_A-T8044,GT-0003,1.1041200307230437,16.014326314940615,0.6219282309788882,11.618285980628052,False,False,source_map,GT-0003,False,False
measurement,7.54,HEDEF_2,RADAR_A,RADAR_A-T1100,,,,,,False,False,create,GT-0005,True,False
measurement,9.0,HEDEF_1,RADAR_B,RADAR_B-T9982,,,,,,False,False,hungarian,GT-0001,False,False
measurement,9.0,HEDEF_5,RADAR_B,RADAR_B-T6829,,,,,,False,False,hungarian,GT-0004,False,False
measurement,9.27,HEDEF_1,RADAR_A,RADAR_A-T2271,GT-0001,2.5203769250579287,16.014326314940615,0.12402198046652667,11.618285980628052,False,False,source_map,GT-0001,False,False
measurement,9.27,HEDEF_5,RADAR_A,RADAR_A-T8270,GT-0004,357.5726206794078,22.42005684091686,0.07846427458254843,16.265600372879273,True,False,create,GT-0006,True,False
measurement,9.48,HEDEF_3,RADAR_A,RADAR_A-T3260,GT-0002,0.43454874247600905,16.014326314940615,0.01102017136442284,11.618285980628052,False,False,source_map,GT-0002,False,False
measurement,11.39,HEDEF_4,RADAR_B,RADAR_B-T1514,,,,,,False,False,hungarian,GT-0003,False,False
measurement,11.39,HEDEF_5,RADAR_B,RADAR_B-T6829,GT-0004,15.491916975701354,22.42005684091686,0.0025236516427637715,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,11.66,HEDEF_4,RADAR_A,RADAR_A-T2049,,,,,,False,False,hungarian,GT-0003,False,False
measurement,11.66,HEDEF_5,RADAR_A,RADAR_A-T8270,GT-0004,18.65038699998097,22.42005684091686,0.04294523101649743,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,11.79,HEDEF_2,RADAR_B,RADAR_B-T3173,,,,,,False,False,hungarian,GT-0005,False,False
measurement,12.1,HEDEF_3,RADAR_A,RADAR_A-T3260,GT-0002,1.8435686717479027,16.014326314940615,0.047280965211511684,11.618285980628052,False,False,source_map,GT-0002,False,False
measurement,12.57,HEDEF_1,RADAR_A,RADAR_A-T2271,GT-0001,3.05109330318304,16.014326314940615,0.33091061398514954,11.618285980628052,False,False,source_map,GT-0001,False,False
measurement,12.57,HEDEF_5,RADAR_A,RADAR_A-T8270,GT-0004,5.270727871296087,22.42005684091686,0.4192777822318772,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,12.72,HEDEF_1,RADAR_B,RADAR_B-T9982,GT-0001,9.968944067149621,16.014326314940615,0.2163520817087255,11.618285980628052,False,False,source_map,GT-0001,False,False
measurement,13.4,HEDEF_2,RADAR_A,RADAR_A-T1246,,,,,,False,False,hungarian,GT-0005,False,False
